"id","nutriscore_grade","ecoscore_grade","nova_groups_tags","countries_hierarchy","brand_tags","categories_hierarchy"
"814305013555","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"39779020049","a","c","['unknown']","['en:united-states']","['kwik-trip']","""['en:farming-products'"
"610546651217","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"711716145274","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"651912","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['trader-joe-s']","""['en:dairies'"
"345802063366","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"79200049348","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"605298","d","b","['en:2-processed-culinary-ingredients']","['en:united-states']","['trader-joe-s']","""['en:breakfasts'"
"810001560485","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"49101004043","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"653341400260","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"52100005935","unknown","unknown","['unknown']","['en:united-states']","['mccormick']","unknown"
"30000566763","unknown","unknown","['unknown']","['en:united-states']","""['quaker'"," 'quaker-oats']"""
"78742009889","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['spring-valley']","['en:dietary-supplements']"
"4099100142396","unknown","unknown","['unknown']","['en:united-states']","['friendly-farms']","unknown"
"31484040299","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"856716008201","d","e","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","""['en:plant-based-foods-and-beverages'"
"242748105993","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"671635732538","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"671635702500","unknown","unknown","['unknown']","['en:united-states']","['thrive-market']","unknown"
"20138440011","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"818290011749","c","e","['unknown']","['en:united-states']","['chobani']","""['en:beverages'"
"621977","unknown","b","['unknown']","['en:united-states']","['trader-joe-s']","""['en:breakfasts'"
"691055","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","['trader-joe-s']","unknown"
"635561","unknown","unknown","['unknown']","['en:united-states']","['trader-joe-s']","unknown"
"827624669457","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"655852003527","unknown","unknown","['unknown']","['en:united-states']","['aurora-natural']","unknown"
"70074642949","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","unknown","unknown"
"4099100155907","c","c","['unknown']","['en:united-states']","['simply-nature']","""['en:plant-based-foods-and-beverages'"
"4099100112870","d","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","""['specially-selected'"," 'aldi']"""
"41573056087","unknown","unknown","['en:4-ultra-processed-food-and-drink-products']","['en:united-states']","[]","""['en:plant-based-foods-and-beverages'"
"2508908","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"4099100039559","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"5270512","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"41633001439","unknown","unknown","['unknown']","['en:united-states']","['better-made']","unknown"
"711381315262","unknown","b","['unknown']","['en:united-states']","['stonewall-kitchen']","""['en:condiments'"
"52100049915","a","unknown","['en:3-processed-foods']","['en:united-states']","['mccormick']","""['en:condiments'"
"811538010238","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"83664868919","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"78742060064","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"539845","unknown","unknown","['unknown']","['en:united-states']","['trader-giotto-s']","unknown"
"19320013782","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"82592011374","unknown","unknown","['unknown']","""['en:united-states'"," 'en:world']""","['naked']"
"844197026524","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"85657700","unknown","unknown","['unknown']","['en:united-states']","unknown","unknown"
"74471000500","unknown","unknown","['unknown']","['en:united-states']","['xx:cafe-bustelo']","""['en:plant-based-foods-and-beverages'"
"620482","unknown","unknown","['unknown']","['en:united-states']","['trader-joe-s']","unknown"
